building_kobold

[OBJECT:BUILDING]

[BUILDING_WORKSHOP:FURRIER]
	[NAME:Furrier's Workshop]
	[COLOR:3:3:0:0:0:7:0:1:0:0:0]
	[BUILD_ITEM:1:NONE:NONE:NONE:NONE][BUILDMAT][WORTHLESS_STONE_ONLY][CAN_USE_ARTIFACT]
	
	
[BUILDING_WORKSHOP:SCRIMSHAWER]
	[NAME:Scrimshawer's Workshop]
	[NAME_COLOR:7:0:1]
	[DIM:3:3]
	[WORK_LOCATION:2:2]
	[BUILD_KEY:CUSTOM_SHIFT_S]
	[BLOCK:1:0:0:0]
	[BLOCK:2:0:0:0]
	[BLOCK:3:0:0:0]
	[TILE:0:1:' ':' ':150]
	[TILE:0:2:' ':' ':'/']
	[TILE:0:3:'-':' ':' ']
	[COLOR:0:1:0:0:0:0:0:0:6:0:0]
	[COLOR:0:2:0:0:0:0:0:0:6:0:0]
	[COLOR:0:3:6:0:0:0:0:0:0:0:0]
	[TILE:1:1:8:' ':' ']
	[TILE:1:2:' ':' ':-]
	[TILE:1:3:' ':' ':35]
	[COLOR:1:1:0:0:0:0:0:0:6:0:0]
	[COLOR:1:2:6:0:0:0:0:0:6:0:0]
	[COLOR:1:3:0:0:0:0:0:0:6:0:0]
	[TILE:2:1:'-':' ':8]
	[TILE:2:2:' ':' ':8]
	[TILE:2:3:' ':150:' ']
	[COLOR:2:1:6:0:0:0:0:0:6:0:0]
	[COLOR:2:2:0:0:0:0:0:0:6:0:0]
	[COLOR:2:3:0:0:0:6:0:0:0:0:0]
	[TILE:3:1:' ':' ':253]
	[TILE:3:2:236:' ':' ']
	[TILE:3:3:215:' ':' ']
	[COLOR:3:1:6:0:0:0:0:0:6:7:0]
	[COLOR:3:2:5:0:0:0:0:0:6:7:0]
	[COLOR:3:3:5:4:0:7:0:1:0:0:0]
	[BUILD_ITEM:1:NONE:NONE:NONE:NONE][BUILDMAT][WORTHLESS_STONE_ONLY][CAN_USE_ARTIFACT]
	
[BUILDING_WORKSHOP:BARRACKS]
	[NAME:Warrior Hall]
	[NAME_COLOR:7:0:1]
	[DIM:3:3]
	[WORK_LOCATION:2:2]
	[BUILD_KEY:CUSTOM_SHIFT_R]
	[BLOCK:1:0:0:0]
	[BLOCK:2:0:0:0]
	[BLOCK:3:0:0:0]
	[TILE:0:1:' ':' ':' ']
	[TILE:0:2:'/':' ':178]
	[TILE:0:3:176:' ':177]
	[COLOR:0:1:0:0:0:0:0:0:6:0:0]
	[COLOR:0:2:4:2:0:0:0:0:6:0:0]
	[COLOR:0:3:6:0:0:0:0:0:0:0:0]
	[TILE:1:1:' ':' ':' ']
	[TILE:1:2:'\':' ':' ']
	[TILE:1:3:15:' ':' ']
	[COLOR:1:1:0:0:0:0:0:0:6:0:0]
	[COLOR:1:2:6:0:0:0:0:0:6:0:0]
	[COLOR:1:3:0:0:0:0:0:0:6:0:0]
	[TILE:2:1:'-':8:' ']
	[TILE:2:2:' ':' ':' ']
	[TILE:2:3:15:8:' ']
	[COLOR:2:1:6:0:0:3:3:3:6:0:0]
	[COLOR:2:2:0:0:0:0:0:0:6:0:0]
	[COLOR:2:3:2:3:4:6:0:0:0:0:0]
	[TILE:3:1:' ':8:' ']
	[TILE:3:2:43:' ':43]
	[TILE:3:3:43:8:8]
	[COLOR:3:1:6:0:0:4:4:4:6:7:0]
	[COLOR:3:2:1:2:2:0:0:0:6:7:0]
	[COLOR:3:3:1:1:2:2:2:2:2:2:2]
	[BUILD_ITEM:1:NONE:NONE:NONE:NONE][BUILDMAT][WORTHLESS_STONE_ONLY][CAN_USE_ARTIFACT]
	
[BUILDING_WORKSHOP:HOARD]
	[NAME:Hoard Hall]
	[NAME_COLOR:7:0:1]
	[DIM:3:3]
	[WORK_LOCATION:2:2]
	[BUILD_KEY:CUSTOM_SHIFT_P]
	[BLOCK:1:0:0:0]
	[BLOCK:2:0:0:0]
	[BLOCK:3:0:0:0]
	[TILE:0:1:' ':' ':' ']
	[TILE:0:2:'/':' ':178]
	[TILE:0:3:176:' ':177]
	[COLOR:0:1:0:0:0:0:0:0:6:0:0]
	[COLOR:0:2:4:2:0:0:0:0:6:0:0]
	[COLOR:0:3:6:0:0:0:0:0:0:0:0]
	[TILE:1:1:' ':' ':' ']
	[TILE:1:2:'\':' ':' ']
	[TILE:1:3:15:' ':' ']
	[COLOR:1:1:0:0:0:0:0:0:6:0:0]
	[COLOR:1:2:6:0:0:0:0:0:6:0:0]
	[COLOR:1:3:0:0:0:0:0:0:6:0:0]
	[TILE:2:1:'-':8:' ']
	[TILE:2:2:' ':' ':' ']
	[TILE:2:3:15:8:' ']
	[COLOR:2:1:6:0:0:3:3:3:6:0:0]
	[COLOR:2:2:0:0:0:0:0:0:6:0:0]
	[COLOR:2:3:2:3:4:6:0:0:0:0:0]
	[TILE:3:1:' ':8:' ']
	[TILE:3:2:43:' ':43]
	[TILE:3:3:43:8:8]
	[COLOR:3:1:6:0:0:4:4:4:6:7:0]
	[COLOR:3:2:1:2:2:0:0:0:6:7:0]
	[COLOR:3:3:1:1:2:2:2:2:2:2:2]
	[BUILD_ITEM:1:NONE:NONE:NONE:NONE][BUILDMAT][WORTHLESS_STONE_ONLY][CAN_USE_ARTIFACT]
